player_name,player_id,season,season_type,team,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Trey Murphy III,murphtr02,2023,RS,NOP,2063,969,1.65121210269476,1.613322862057888,3.264534964752649,-1.608456753584577,-1.735651644848539,-3.344108398433116,1.05288348579848,.9799549446280299,2.032838430426509,2.378762100928687,2.378762100928687,0,.2361674371179387,.990453283414035,1.226620720531974,.6075170530474342
Dejounte Murray,murrade01,2023,RS,ATL,2482,1168,.405009709089715,.4530000586301908,.8580097677199058,-1.619876317027165,4.670357102327913,3.050480785300748,.0123752004625237,1.381264753469427,1.393639953931951,2.462266609160619,2.462266609160619,0,.6472202755714086,1.631748201320516,2.278968476891924,-.2860737023656665
Jamal Murray,murraja01,2023,RS,DEN,2001,959,1.070448490470738,-.2301275113942761,.8403209790764622,1.260940606789528,-1.020456231073436,.2404843757160913,1.083014117141118,-.3877758447680636,.6952382723730539,1.668430074681204,1.668430074681204,0,.5839118979391904,-1.041581378054074,-.457669480114884,-1.035643456799921
Keegan Murray,murrake02,2023,RS,SAC,2030,943,-2.375078996865294,.5588184364594728,-1.816260560405821,-.299578885558629,1.80390005389808,1.504321168339451,-2.10558725465653,.8686626170336692,-1.236924637622861,.7324327922769043,.7324327922769043,0,-1.211588807904304,.5905629063331719,-.6210259015711324,.6201691591778788
Mike Muscala,muscami01,2023,RS,OKC,779,354,.349511336210111,-3.092386866443588,-2.742875530233477,3.540605034505333,5.37235773837214,8.912962772877474,1.063362947447466,-1.503433067244662,-.4400701197971959,.4169261215747823,.4169261215747823,0,.8221637020059103,-.8724880768098016,-.0503243748038913,-.0659742921259176
Svi Mykhailiuk,mykhasv01,2023,RS,NYK,87,39,2.822112666098346,3.93343418808782,6.755546854186165,-11.19016909767367,20.09015534200685,8.899986244333178,.0368360195347998,7.540762496611928,7.577598516146727,.2100930304806255,.2100930304806255,0,1.010287521896629,1.742051671732114,2.752339193628743,2.262124050619846
Larry Nance Jr.,nancela02,2023,RS,NOP,1400,662,-1.448785301890818,1.808347967003078,.3595626651122601,3.649091325639354,2.683882425028483,6.332973750667836,-.4979525622515649,2.06801088055225,1.570058318300685,1.446650393292658,1.446650393292658,0,-.8724521645184643,1.346447658536571,.4739954940181063,-.8635913105176044
Andrew Nembhard,nembhan01,2023,RS,IND,1856,867,-.7829162504732046,1.314334931420961,.5314186809477564,-2.031327133144111,-2.029932537926384,-4.061259671070494,-1.083390993438552,.7112488125456875,-.3721421808928644,1.054794838244119,1.054794838244119,0,-1.443258709940185,1.261695389677844,-.1815633202623415,.2850935585703995
Aaron Nesmith,nesmiaa01,2023,RS,IND,1628,761,-1.478397169533062,.4780458366219974,-1.000351332911065,2.475037162096978,-3.327231023498339,-.8521938614013611,-.7412801790589151,-.2684978426276012,-1.009778021686516,.6788002520348978,.6788002520348978,0,-.5759733409531155,.2170444165039245,-.358928924449191,.4696674950422732
Raul Neto,netora01,2023,RS,CLE,469,229,-.2943706364382161,1.522375379130063,1.228004742691847,-2.895651572567723,2.198298940489232,-.6973526320784913,-.8772182426096202,1.695151018366116,.8179327757564954,.4125605602588153,.4125605602588153,0,-1.504905793040499,.8702762669299841,-.6346295261105147,-1.043612435957875
